strategy_combination,provider1_strategy,provider2_strategy,provider3_strategy,total_user_utility,total_provider_utility,total_reward,total_delegations,best_provider,provider_1_honest,provider_2_honest,provider_3_honest,best_provider_strategy,provider_3_ours,provider_3_random,provider_3_worst,provider_2_ours,provider_2_random,provider_2_worst,provider_1_ours,provider_1_random,provider_1_worst
honest-honest-honest,honest,honest,honest,4885.148800000001,63.4469,4982.705999999999,994,2,46.2436,13.2967,3.9066,honest,,,,,,,,,
honest-honest-ours,honest,honest,ours,4733.589399999999,65.1074,4830.4233,979,2,46.2436,13.0616,,honest,5.8022,,,,,,,,
honest-honest-random,honest,honest,random,4693.3446,71.37049999999999,4798.703399999999,948,2,55.965,13.0666,,honest,,2.3389,,,,,,,
honest-honest-worst,honest,honest,worst,4644.9931,71.2626,4749.6295,939,2,55.7729,12.9416,,honest,,,2.5481,,,,,,
honest-ours-honest,honest,ours,honest,4042.0406,59.4457,4127.1996,979,2,46.2436,,3.9396,ours,,,,9.2625,,,,,
honest-ours-ours,honest,ours,ours,3950.0661999999998,60.058600000000006,4033.7759,964,2,46.2436,,,ours,4.5525,,,9.2625,,,,,
honest-ours-random,honest,ours,random,3870.4513,58.5686,3952.4474,936,2,47.0295,,,ours,,2.4119,,9.1272,,,,,
honest-ours-worst,honest,ours,worst,3815.9249999999997,59.9723,3899.1222,924,2,48.4481,,,ours,,,2.5481,8.9761,,,,,
honest-random-honest,honest,random,honest,3711.3363000000004,64.7719,3800.3246000000004,964,2,46.2436,,3.1548,random,,,,,15.3735,,,,
honest-random-ours,honest,random,ours,3346.1511,447.7359,3905.8813999999998,949,1,441.8005,,,honest,4.4907,,,,1.4447,,,,
honest-random-random,honest,random,random,3536.9377999999997,64.69,3623.9932000000003,925,2,46.8365,,,random,,2.2742,,,15.5793,,,,
honest-random-worst,honest,random,worst,3278.4022999999997,441.5947,3830.3014,909,1,437.3784,,,honest,,,2.5481,,1.6682,,,,
honest-worst-honest,honest,worst,honest,3371.1872000000003,446.13870000000003,3930.4411,964,1,441.8005,,3.9288,honest,,,,,,0.4094,,,
honest-worst-ours,honest,worst,ours,3302.1731000000004,447.9697,3861.2117000000003,964,1,441.8005,,,honest,5.7598,,,,,0.4094,,,
honest-worst-random,honest,worst,random,3276.3794,440.1415,3826.3529999999996,909,1,437.3784,,,honest,,2.3184,,,,0.4447,,,
honest-worst-worst,honest,worst,worst,3256.0723999999996,440.3712,3805.8585999999996,909,1,437.3784,,,honest,,,2.5481,,,0.4447,,,
ours-honest-honest,ours,honest,honest,4556.7544,29.8925,4611.0191,964,2,,13.036,3.9288,honest,,,,,,,12.9277,,
ours-honest-ours,ours,honest,ours,4599.2858,31.772399999999998,4653.7685,979,2,,13.2967,,honest,4.558,,,,,,13.9177,,
ours-honest-random,ours,honest,random,4445.030100000001,29.5141,4496.7028,932,2,,13.0498,,honest,,2.5069,,,,,13.9574,,
ours-honest-worst,ours,honest,worst,4379.330900000001,29.4433,4430.4441,924,2,,12.967,,honest,,,2.5481,,,,13.9282,,
ours-ours-honest,ours,ours,honest,3877.5433,27.1581,3921.04,994,2,,,3.9066,ours,,,,9.3338,,,13.9177,,
ours-ours-ours,ours,ours,ours,3812.99,29.083199999999998,3856.3808999999997,994,2,,,,ours,5.8317,,,9.3338,,,13.9177,,
